id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,brand_company_id,no_design,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,creted_ts,updated_ts
,18,24,3,Null,CLOSE,LEV-1017,101,111211CY2,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1012,101,111311BY2,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1043,101,111321BY2,3,3,12,2,31,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1044,101,111411BY2,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1019,101,111411CY1,3,3,12,2,24,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1020,101,111421AY1,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1045,101,111425BY1,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1048,101,111439BY1,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1057,101,111471AY2,3,3,12,2,16,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1046,101,111471BY2,3,3,12,2,16,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1049,101,111571CY3,3,3,12,2,16,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1061,101,111811AY2,4,3,12,2,24,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1062,101,111821AY3,4,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1059,101,111827BY1,4,3,12,2,35,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1075,101,111X21AY1,4,3,12,2,31,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1068,101,111X27AYB,4,3,12,2,35,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1069,101,111X27BYA,4,3,12,2,35,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1097,101,111Y27AY1,4,3,12,2,35,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1067,101,111Y30AY1,4,3,12,2,10,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1094,101,111Y30AY3,4,3,12,2,10,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22010,101,112111BY1,3,4,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22009,101,112111BY2,3,4,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22034,101,112121BY1,3,4,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22015,101,112211CY1,3,4,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22014,101,112227CY1,3,4,12,2,35,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22052,101,112327CY1,3,4,12,2,35,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22042,101,112411AY2,3,4,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22041,101,112421CY1,3,4,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22054,101,112527BY2,3,4,12,2,35,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1042,101,121327EY1,3,3,12,2,35,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1076,101,121X21GY4,4,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1100,101,121Y30GY1,4,3,12,2,10,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1016,101,161111FY2,3,3,12,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1047,101,161311GY1,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1041,101,161321GY3,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22021,101,162221FY4,3,4,12,2,31,1,6,15,2021-10-19,2021-10-19
