id	type_document_id	vendor_comp_id	type_dept_id	type_team_id	status	no_indent	no_design	no_style	brand_comp_id	name_season_year_id	name_season_id	gender	type_apparel_id	type_fab_id	type_order_id	type_order_d_id	mid_comp_id	name_pic_id	name_cover	description	code_hs	qty_order	suppliver_comp_id	co_fab	remark	creadte	updated
	18	23	3	14	CLOSE	DHGV-9801	SM49610Y	SM49610Y	93	1	4	2	30	2	1	Null	1	Null	Null	Null	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9801	SM49610Y	SM49610YB	93	1	4	2	30	2	1	Null	1	Null	Null	Null	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9802	SM49608Y	SM49608Y	93	1	4	2	30	2	1	Null	4	Null	Null	Null	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9802	SM49608Y	SM49608YB	93	1	4	2	30	2	1	Null	4	Null	Null	Null	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9803	GM10221Y	GM10221Y	93	2	1	2	30	2	1	Null	9	Null	Null	MENS FILED JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9803	GM10221Y	GM10221Y-CAMO	93	2	3	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9803	GM10221Y	GM10221YB	93	2	3	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9803	GM10221Y	GM10221YB-CAMO	93	2	3	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9804	BW111007701	BW111007701	93	2	1	3	30	2	1	Null	9	Null	Null	BOYS FILED JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9804	BW111007701	BW111007701H	93	2	3	3	30	2	1	Null	12	Null	Null	BOYS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9805	BW111007714	BW111007714	93	2	1	3	30	2	1	Null	9	Null	Null	BOYS DENIM JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-9805	BW111007714	BW111007714H	93	2	3	3	30	2	1	Null	12	Null	Null	BOYS DENIM JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2001	NBM40701Y	NBM40701Y/YB	93	2	4	2	30	2	1	Null	Null	Null	Null	Null	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2001	NBM40701Y	NBM40701YB	93	2	4	2	30	2	1	Null	14	Null	Null	MENS BOMBER JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2002	GM40505Y	GM40505Y	93	2	4	2	30	2	1	Null	Null	Null	Null	Null	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2002	GM40505Y	GM40505YB	93	2	4	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2002	GM40505Y	GM40505YP	93	2	4	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2002	GM40505Y	GM40505YPB	93	2	4	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2003	SM40610Y	SM40610Y	93	2	4	2	30	2	1	Null	4	Null	Null	MENS HEAVY WEIGHT PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2003	SM40610Y	SM40610YB	93	2	4	2	30	2	1	Null	4	Null	Null	MENS HEAVY WEIGHT PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2003	SM40610Y	SM40610YH	93	2	4	2	30	2	1	Null	4	Null	Null	MENS HEAVY WEIGHT PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2003	SM40610Y	SM40610YHB	93	2	4	2	30	2	1	Null	4	Null	Null	MENS HEAVY WEIGHT PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2004	SW30100013444	SW30100013444	93	2	4	4	30	2	1	Null	4	Null	Null	GIRLS PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2005	SW30100013142	SW30100013142	93	2	4	3	30	2	1	Null	4	Null	Null	BOYS PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2006	SW30100013189	SW30100013189A	93	2	4	3	30	2	1	Null	4	Null	Null	BOYS BOMBER	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2006	SW30100013189	SW30100013189B	93	2	4	3	30	2	1	Null	4	Null	Null	BOYS BOMBER	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2007	WG30100012814	WG30100012814	93	2	4	4	30	2	1	Null	12	Null	Null	GIRLS BUBBLE	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2007	WG30100012814	WG30100012814A	93	2	4	4	30	2	1	Null	12	Null	Null	GIRLS BUBBLE	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2007	WG30100012814	WG30100012814B	93	2	4	4	30	2	1	Null	12	Null	Null	GIRLS BUBBLE	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2007	WX30100012814	WX30100012814	93	2	4	4	30	2	1	Null	12	Null	Null	GIRLS BUBBLE	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2008	NBM40701	NBM40701	93	3	3	2	30	2	1	Null	14	Null	Null	MENS BOMBER JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2009	GM40505	GM40505	93	3	3	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	CLOSE	DHGV-2002	GM40505Y	GM40505Y	93	2	4	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2101	GE31100027798	GE31100027798	93	3	4	2	30	2	1	Null	12	Null	Null	MENS FIELD JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2102	SW32100028966	SW32100028966	93	3	4	3	30	2	1	Null	14	Null	Null	BOYS PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2103	SW32100028963	SW32100028963	93	3	4	3	30	2	1	Null	14	Null	Null	BOYS PUFFER PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2104	SW32100028968	SW32100028968	93	3	4	3	30	2	1	Null	14	Null	Null	BOYS BOMBER	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2105	SW32100029031	SW32100029031	93	3	4	4	30	2	1	Null	12	Null	Null	GIRLS PUFFER JACKET	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2106	SW32100029122	SW32100029122	93	3	4	4	30	2	1	Null	4	Null	Null	GIRLS PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2107	SW32100029121	SW32100029121	93	3	4	4	30	2	1	Null	4	Null	Null	GIRLS PUFFER PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
	18	23	3	14	OPEN	DHGV-2108	SM40610Y	SM40610Y	93	3	4	2	30	2	1	Null	4	Null	Null	MENS PARKA	Null	0	Null	Null	Null	2021-10-18	2021-10-18
