id,name
2,
13,Allure
14,"Birch and Goat Color Block"
15,"Birch and Goat Colorblock"
16,Black
17,"Black  Sherpa Lining"
18,"BLACK AND WHITE GEO AM2233_039APv1_colorway9"
19,"Black ANF Casual Black AFW- 808643"
20,"Black Beauty"
21,"Black Beauty Block"
11,"Black Beauty with Black Fur"
22,"Black Beauty, Bright White"
23,"Black Beauty, Cream Lining"
24,"Black Grey Block"
25,"BLACK W TIPPING"
9,"Black with Frosted Fur"
3,Blue
26,"BLUE AND RED MULTISTRIPE AM2233_033APv4_color"
27,"Blue Butterfly AM2233_026APv1c5"
28,"Blue Floral AM2233_024APv_colorway7"
29,"BLUE PAISLEY FLORAL"
30,"Blue Pantone 18-3929 TCX Blue Horizon"
31,"Blue Quartz pantone 19-3964 tcx"
32,"BLUE TAPE FLORAL WITH SOLID BORDER AM2233_03."
33,"Blue Tri Block"
34,"Bright White"
35,"Burnt Olive"
36,"BUTTERFLIES AM2233_029APv3_colorway19"
37,Cabernet
38,"casual black"
39,"casual black  w mktg"
40,"casual black w marketing"
41,"Cationic Grey"
42,"Chateau Gray"
43,"Cloudy Beach Wash Black to White"
44,Cobblestone
45,"DEAUVILLE MAUVE"
46,"Desert Sage"
47,"DRAGONFLIES AM2233_026APv1c5"
48,"DUSTY ROSE"
49,"gary olive"
50,"gary olive  w mktg"
51,"gary olive w marketing"
52,Goat
7,Grapeleaf
53,"gray gatsby"
54,"GREEN FLORAL AM2233_024APv1_colorway3"
55,"GREEN PIPING PANTONE 18-5410 TCX SILVER PINE"
56,Grey
57,"GREY W TIPPING"
58,"Ivy Green"
59,"Java, Tuffet"
60,"Jester Red"
61,"Jester Red, Black Beauty"
62,"June Bug, Bright White"
63,"LEMONS AM2133_025APv2_colorway4"
64,"LIGHT BLUE W TIPPING"
65,"LT BLUE GEO AM2233_035APv1_colorway34"
66,METEORITE
12,MIXED
67,"MULTI FLORAL AMP04_229APv2c6"
68,Navy
10,"Navy Blazer"
69,"Navy Floral AM2233_025APv1c21"
70,"NAVY FLORAL AMP05_320APv3_colo"
71,"NAVY FLORAL AMP05_320APv3_colorway11"
72,"NAVY PANTONE 19-3922 TCX SKY CAPTAIN"
73,"Navy Pipe 3922 TCX Sky Captain"
74,"NAVY STRIPES AM2233_003APv4c6"
75,Olive
76,"olive per sample"
6,"Opal Grey"
77,Otter
78,phantom
79,"phantom w mktg"
80,Portabella
81,"Pure Cashmere"
82,"Quiet Grey and Bright White Co"
1,Red
83,"Red Wash MAROON 18-1619 TCX"
5,"Rose Brown"
84,"Sage Floral AM2233_024APv_colorway3"
85,"Sage Pomegranate FLORAL PRINT AM2133_042APv1c"
86,"Shadow Pantone 17-6206 TCX SHADOW"
87,"Shell AM2233_023APv1c"
88,"sky cap  w mktg"
89,"sky captain"
90,"SKY CAPTAIN 19-3922 TCX"
91,"SKY CAPTAIN PIPING PANTONE 19-3922 TCX SKY CA"
92,"SKY CAPTAIN PIPING Pantone 19-3922 TCX Sky Cp"
93,"Smoked Pearl"
94,"Tan Stripe AM2233_021APv3c4"
95,"THYME GREEN"
96,TOADSTOOL
97,"TOASTED COCONUT"
98,Tradewinds
99,Tuffet
100,"Victoria Blue Full Zip"
101,"Vintage Indigo"
102,"WHITE AND TAN SEERSUCKER AM2233_021APv3c4"
8,"White with Black Fur"
103,"WINDCHIME Pantone 14-4002"
104,Winetasting
4,Yellow
