id,type_document,no_design,no_style,po_no,ship_mode,name_country,gmt_market,gmt_color,gmt_size,date_ship,qty_order,price_unit,remark,status,name_season,name_season_year,name_gender,type_fabric,type_garment,type_order,name_mid,name_brand,name_comp,name_dept,name_team
,2,344J2342,344J2342,2338793-NL1BU,Sea,Netherlands,NL1BU,Rose Brown,XX SMALL,2021-09-01,5,17.48,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2342,344J2342,2338793-NL1BU,Sea,Netherlands,NL1BU,Rose Brown,X SMALL,2021-09-01,35,17.48,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2342,344J2342,2338793-NL1BU,Sea,Netherlands,NL1BU,Rose Brown,SMALL,2021-09-01,74,17.48,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2342,344J2342,2338793-NL1BU,Sea,Netherlands,NL1BU,Rose Brown,MEDIUM,2021-09-01,76,17.48,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2342,344J2342,2338793-NL1BU,Sea,Netherlands,NL1BU,Rose Brown,LARGE,2021-09-01,55,17.48,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2342,344J2342,2338793-NL1BU,Sea,Netherlands,NL1BU,Rose Brown,X LARGE,2021-09-01,29,17.48,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2342,344J2342,2338793-NL1BU,Sea,Netherlands,NL1BU,Rose Brown,XXLARGE,2021-09-01,5,17.48,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2352,344J2352,2299231-US1BU,Sea,United States of America,US1BU,Quiet Grey and Bright White Co,XX SMALL,2021-07-07,9,16.53,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2352,344J2352,2299231-US1BU,Sea,United States of America,US1BU,Quiet Grey and Bright White Co,X SMALL,2021-07-07,40,16.53,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2352,344J2352,2299231-US1BU,Sea,United States of America,US1BU,Quiet Grey and Bright White Co,SMALL,2021-07-07,109,16.53,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2352,344J2352,2299231-US1BU,Sea,United States of America,US1BU,Quiet Grey and Bright White Co,MEDIUM,2021-07-07,75,16.53,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2352,344J2352,2299231-US1BU,Sea,United States of America,US1BU,Quiet Grey and Bright White Co,LARGE,2021-07-07,34,16.53,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
,2,344J2352,344J2352,2299231-US1BU,Sea,United States of America,US1BU,Quiet Grey and Bright White Co,X LARGE,2021-07-07,15,16.53,,Activate,FW,2021,Womens,Woven,Outerwear,Bulk,Pt. Koin Baju Global,Hollister,Daehan Global Korea,Sales,1ÆÀ
