id,size_id,name,id,,,,,
249,249,0,249,,,,5/6,5/6
90,90,1,90,,,,7/8,7/8
89,89,2,89,,,,9/10,9/10
91,91,3,91,,,,11/12,11/12
42,42,4,42,,,,5/6,
35,35,5,35,,,,7/8,
36,36,6,36,,,,9/10,
34,34,7,34,,,,11/12,
40,40,8,40,,,,5/6,
44,44,9,44,,,,7/8,
37,37,10,37,,,,9/10,
39,39,12,39,,,,11/12,
38,38,14,38,,,,5/6,
41,41,16,41,,,,7/8,
43,43,18,43,,,,9/10,
95,95,20,95,,,,11/12,
92,92,22,92,,,,7/8,
250,250,23,250,,,,9/10,
93,93,24,93,,,,11/12,
251,251,25,251,,,,5/6,
94,94,26,94,,,,7/8,
484,482,26,484,,,,9/10,
204,204,27,204,,,,11/12,
107,107,28,107,,,,5/6,
485,483,28,485,,,,7/8,
108,108,29,108,,,,9/10,
486,484,29,486,,,,11/12,
109,109,30,109,,,,5/6,
487,485,30,487,,,,7/8,
110,110,31,110,,,,9/10,
488,486,31,488,,,,11/12,
111,111,32,111,,,,5/6,
489,487,32,489,,,,7/8,
112,112,33,112,,,,9/10,
113,113,34,113,,,,11/12,
114,114,35,114,,,,5/6,
115,115,36,115,,,,7/8,
116,116,38,116,,,,9/10,
117,117,40,117,,,,11/12,
118,118,42,118,,,,5/6,
203,203,44,203,,,,7/8,
205,205,46,205,,,,9/10,
206,206,48,206,,,,11/12,
478,476,44322,478,,,,5/6,
479,477,44385,479,,,,7/8,
480,478,44449,480,,,,9/10,
481,479,44512,481,,,,11/12,
255,255,0 ANK,255,,,,5/6,
269,269,0 REG,269,,,,7/8,
285,285,0 SHORT,285,,,,9/10,
445,445,0 TALL,445,,,,11/12,
254,254,00 ANK,254,,,,5/6,
268,268,00 REG,268,,,,7/8,
444,444,00 TALL,444,,,,9/10,
253,253,000 A,253,,,,11/12,
267,267,000 REG,267,,,,5/6,
252,252,0000 A,252,,,,7/8,
266,266,0000 REG,266,,,,9/10,
299,299,0000LNG,299,,,,11/12,
327,327,0000P,327,,,,5/6,
355,355,0000REG,355,,,,7/8,
383,383,0000SRT,383,,,,9/10,
422,422,0000TAL,422,,,,11/12,
300,300,000LONG,300,,,,5/6,
328,328,000P,328,,,,7/8,
356,356,000REG,356,,,,9/10,
384,384,000SHRT,384,,,,11/12,
411,411,000TALL,411,,,,5/6,
301,301,00LONG,301,,,,7/8,
329,329,00P,329,,,,9/10,
357,357,00REG,357,,,,11/12,
385,385,00SHORT,385,,,,5/6,
412,412,00TALL,412,,,,7/8,
6,6,0-3M,6,,,,9/10,
7,7,0-6M,7,,,,11/12,
302,302,0LONG,302,,,,5/6,
330,330,0P,330,,,,7/8,
358,358,0REG,358,,,,9/10,
386,386,0SHORT,386,,,,11/12,
413,413,0TALL,413,,,,5/6,
460,460,0XSHORT,460,,,,7/8,
260,260,10 ANK,260,,,,9/10,
59,59,10 REG,59,,,,11/12,
64,64,10 SLIM,64,,,,5/6,
293,293,10 TALL,293,,,,7/8,
84,84,10+,84,,,,9/10,
50,50,10HUSKY,50,,,,11/12,
307,307,10LONG,307,,,,5/6,
335,335,10P,335,,,,7/8,
363,363,10REG,363,,,,9/10,
391,391,10SHORT,391,,,,11/12,
418,418,10TALL,418,,,,5/6,
455,455,10XSHRT,455,,,,7/8,
261,261,12 ANK,261,,,,9/10,
54,54,12 REG,54,,,,11/12,
70,70,12 SLIM,70,,,,5/6,
294,294,12 TALL,294,,,,7/8,
85,85,12+,85,,,,9/10,
3,3,12-18M,3,,,,11/12,
48,48,12HUSKY,48,,,,5/6,
308,308,12LONG,308,,,,7/8,
336,336,12P,336,,,,9/10,
364,364,12REG,364,,,,11/12,
392,392,12SHORT,392,,,,5/6,
419,419,12TALL,419,,,,7/8,
463,463,12XSHRT,463,,,,9/10,
482,480,13/14,482,,,,11/12,
262,262,14 ANK,262,,,,5/6,
55,55,14 REG,55,,,,7/8,
67,67,14 SLIM,67,,,,9/10,
295,295,14 TALL,295,,,,11/12,
86,86,14+,86,,,,5/6,
46,46,14HUSKY,46,,,,7/8,
309,309,14LONG,309,,,,9/10,
337,337,14P,337,,,,11/12,
365,365,14REG,365,,,,5/6,
393,393,14SHORT,393,,,,7/8,
420,420,14TALL,420,,,,9/10,
457,457,14XSHRT,457,,,,11/12,
483,481,15/16,483,,,,5/6,
263,263,16 ANK,263,,,,7/8,
56,56,16 REG,56,,,,9/10,
66,66,16 SLIM,66,,,,11/12,
296,296,16 TALL,296,,,,5/6,
87,87,16+,87,,,,7/8,
51,51,16HUSKY,51,,,,9/10,
310,310,16LONG,310,,,,11/12,
338,338,16P,338,,,,5/6,
366,366,16REG,366,,,,7/8,
394,394,16SHORT,394,,,,9/10,
421,421,16TALL,421,,,,11/12,
454,454,16XSHRT,454,,,,5/6,
264,264,18 ANK,264,,,,7/8,
62,62,18 REG,62,,,,9/10,
71,71,18 SLIM,71,,,,11/12,
447,447,18 TALL,447,,,,5/6,
88,88,18+,88,,,,7/8,
4,4,18-24M,4,,,,9/10,
52,52,18HUSKY,52,,,,11/12,
311,311,18LONG,311,,,,5/6,
339,339,18P,339,,,,7/8,
367,367,18REG,367,,,,9/10,
395,395,18SHORT,395,,,,11/12,
297,297,18TALL,297,,,,,
458,458,18XSHRT,458,,,,,
449,449,1X,449,,,,,
256,256,2 ANK,256,,,,,
270,270,2 REG,270,,,,,
286,286,2 SHORT,286,,,,,
446,446,2 TALL,446,,,,,
214,214,2 YRS,214,,,,,
265,265,20 ANK,265,,,,,
448,448,20 TALL,448,,,,,
465,465,20+,465,,,,,
312,312,20LONG,312,,,,,
340,340,20P,340,,,,,
368,368,20REG,368,,,,,
396,396,20SHORT,396,,,,,
298,298,20TALL,298,,,,,
461,461,20XSHRT,461,,,,,
271,271,22 REG,271,,,,,
467,467,22+,467,,,,,
313,313,22LONG,313,,,,,
341,341,22P,341,,,,,
369,369,22REG,369,,,,,
397,397,22SHORT,397,,,,,
423,423,22TALL,423,,,,,
272,272,23 REG,272,,,,,
314,314,23LONG,314,,,,,
342,342,23P,342,,,,,
370,370,23REG,370,,,,,
398,398,23SHORT,398,,,,,
424,424,23TALL,424,,,,,
273,273,24 REG,273,,,,,
466,466,24+,466,,,,,
315,315,24LONG,315,,,,,
343,343,24P,343,,,,,
371,371,24REG,371,,,,,
399,399,24SHORT,399,,,,,
425,425,24TALL,425,,,,,
274,274,25 REG,274,,,,,
316,316,25LONG,316,,,,,
344,344,25P,344,,,,,
372,372,25REG,372,,,,,
400,400,25SHORT,400,,,,,
426,426,25TALL,426,,,,,
275,275,26 REG,275,,,,,
464,464,26+,464,,,,,
317,317,26LONG,317,,,,,
345,345,26P,345,,,,,
373,373,26REG,373,,,,,
401,401,26SHORT,401,,,,,
427,427,26TALL,427,,,,,
191,191,26X28,191,,,,,
187,187,26X30,187,,,,,
119,119,26X32,119,,,,,
276,276,27 REG,276,,,,,
318,318,27LONG,318,,,,,
346,346,27P,346,,,,,
374,374,27REG,374,,,,,
402,402,27SHORT,402,,,,,
428,428,27TALL,428,,,,,
277,277,28 REG,277,,,,,
468,468,28+,468,,,,,
319,319,28LONG,319,,,,,
347,347,28P,347,,,,,
375,375,28REG,375,,,,,
403,403,28SHORT,403,,,,,
429,429,28TALL,429,,,,,
120,120,28X28,120,,,,,
121,121,28X30,121,,,,,
122,122,28X32,122,,,,,
190,190,28X34,190,,,,,
278,278,29 REG,278,,,,,
320,320,29LONG,320,,,,,
348,348,29P,348,,,,,
376,376,29REG,376,,,,,
404,404,29SHORT,404,,,,,
430,430,29TALL,430,,,,,
123,123,29X28,123,,,,,
124,124,29X29,124,,,,,
125,125,29X30,125,,,,,
126,126,29X31,126,,,,,
127,127,29X32,127,,,,,
128,128,29X34,128,,,,,
129,129,29X36,129,,,,,
303,303,2LONG,303,,,,,
331,331,2P,331,,,,,
359,359,2REG,359,,,,,
387,387,2SHORT,387,,,,,
225,225,2T,225,,,,,
414,414,2TALL,414,,,,,
450,450,2X,450,,,,,
462,462,2XSHORT,462,,,,,
218,218,2YRS,218,,,,,
215,215,3 YRS,215,,,,,
279,279,30 REG,279,,,,,
321,321,30LONG,321,,,,,
349,349,30P,349,,,,,
377,377,30REG,377,,,,,
405,405,30SHORT,405,,,,,
431,431,30TALL,431,,,,,
130,130,30X28,130,,,,,
131,131,30X30,131,,,,,
132,132,30X32,132,,,,,
133,133,30X34,133,,,,,
183,183,30X36,183,,,,,
280,280,31 REG,280,,,,,
322,322,31LONG,322,,,,,
350,350,31P,350,,,,,
378,378,31REG,378,,,,,
406,406,31SHORT,406,,,,,
432,432,31TALL,432,,,,,
134,134,31X28,134,,,,,
135,135,31X30,135,,,,,
136,136,31X32,136,,,,,
137,137,31X34,137,,,,,
281,281,32 REG,281,,,,,
323,323,32LONG,323,,,,,
351,351,32P,351,,,,,
379,379,32REG,379,,,,,
407,407,32SHORT,407,,,,,
433,433,32TALL,433,,,,,
207,207,32-TALL,207,,,,,
138,138,32X28,138,,,,,
139,139,32X30,139,,,,,
