id,type_document_id,design_cover_id,no_style,no_po,type_shipmode_id,dest_country_id,name_fg_market_id,name_fg_color_id,name_fg_size_id,ship_date,qty_order,unit_price,group_entity_buyer_id,remark,status,created_ts,updated_ts
,2,622,WAE65003SP18,4WMFIYHG,1,Null,4,Null,Null,2020-09-07,6392,5.56,10,Null,Activate,2021-10-22,2021-10-22
,2,555,AE1906388,4WMFIYHG,1,Null,4,Null,Null,2020-09-07,6601,10.6,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,659TERIC,1,Null,4,Null,Null,2020-09-01,437,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,659TERIC,1,Null,4,Null,Null,2020-09-01,359,4.44,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65003SP18,659TERIC,1,Null,4,Null,Null,2020-09-01,304,5.56,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65004SP18,659TERIC,1,Null,4,Null,Null,2020-09-01,1323,7.69,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,7OLAWXKH,1,Null,4,Null,Null,2020-09-04,8063,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65004SP18,7OLAWXKH,1,Null,4,Null,Null,2020-09-04,6107,7.69,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65005SP18,7OLAWXKH,1,Null,4,Null,Null,2020-09-04,1125,6.24,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65005SP18,7OLAWXKH,1,Null,4,Null,Null,2020-09-04,2455,6.22,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65005SP18,7OLAWXKH,1,Null,4,Null,Null,2020-09-04,1625,7.34,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65005SP18,7OLAWXKH,1,Null,4,Null,Null,2020-09-04,1124,6.47,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,7VBBTQEM,1,Null,4,Null,Null,2020-09-21,3984,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65003SP18,7VBBTQEM,1,Null,4,Null,Null,2020-09-21,3223,5.56,10,Null,Activate,2021-10-22,2021-10-22
,2,573,AE1917142,7Z8MXPYQ,1,Null,4,Null,Null,2020-09-11,3667,5.43,10,Null,Activate,2021-10-22,2021-10-22
,2,574,AE1903796,2YKIDWMQ,1,Null,4,Null,Null,2020-09-28,3164,5.84,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,8ITAKZ1P,1,Null,5,Null,Null,2020-10-12,133,4.44,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,8ITAKZ1P,1,Null,5,Null,Null,2020-10-12,414,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,8ITAKZ1P,1,Null,5,Null,Null,2020-10-12,111,5.67,10,Null,Activate,2021-10-22,2021-10-22
,2,575,AE1916252,8ITAKZ1P,1,Null,5,Null,Null,2020-10-12,324,4.92,10,Null,Activate,2021-10-22,2021-10-22
,2,573,AE1917142,8ITAKZ1P,1,Null,5,Null,Null,2020-10-12,205,5.43,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,48IY3IPD,1,Null,4,Null,Null,2020-10-12,9776,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,48IY3IPD,1,Null,4,Null,Null,2020-10-12,2239,4.44,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,48IY3IPD,1,Null,4,Null,Null,2020-10-12,2854,5.67,10,Null,Activate,2021-10-22,2021-10-22
,2,575,AE1916252,48IY3IPD,1,Null,4,Null,Null,2020-10-12,7230,4.92,10,Null,Activate,2021-10-22,2021-10-22
,2,573,AE1917142,48IY3IPD,1,Null,4,Null,Null,2020-10-12,4562,5.43,10,Null,Activate,2021-10-22,2021-10-22
,2,576,AE2011188,48IY3IPD,1,Null,4,Null,Null,2020-10-12,2316,13.85,10,Null,Activate,2021-10-22,2021-10-22
,2,576,AE2011188,48IY3IPD,1,Null,4,Null,Null,2020-10-12,2631,14.43,10,Null,Activate,2021-10-22,2021-10-22
,2,609,AE1901192,2FYWEWEZ,1,Null,4,Null,Null,2020-11-11,5928,7.5,10,Null,Activate,2021-10-22,2021-10-22
,2,599,AE1913254,2FYWEWEZ,1,Null,4,Null,Null,2020-11-11,1148,4.73,10,Null,Activate,2021-10-22,2021-10-22
,2,575,AE1916252,2FYWEWEZ,1,Null,4,Null,Null,2020-11-11,8252,4.92,10,Null,Activate,2021-10-22,2021-10-22
,2,573,AE1917142,2FYWEWEZ,1,Null,4,Null,Null,2020-11-11,3483,5.43,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,2FYWEWEZ,1,Null,4,Null,Null,2020-11-11,5458,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,609,AE1901192,8YXF5U6M,1,Null,6,Null,Null,2020-11-11,155,7.5,10,Null,Activate,2021-10-22,2021-10-22
,2,573,AE1917142,8YXF5U6M,1,Null,6,Null,Null,2020-11-11,603,5.43,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,8YXF5U6M,1,Null,6,Null,Null,2020-11-11,600,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,609,AE1901192,7ZPVHFZL,1,Null,5,Null,Null,2020-11-11,899,7.5,10,Null,Activate,2021-10-22,2021-10-22
,2,575,AE1916252,7ZPVHFZL,1,Null,5,Null,Null,2020-11-11,1274,4.92,10,Null,Activate,2021-10-22,2021-10-22
,2,573,AE1917142,7ZPVHFZL,1,Null,5,Null,Null,2020-11-11,1561,5.43,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,7ZPVHFZL,1,Null,5,Null,Null,2020-11-11,3007,4.97,10,Null,Activate,2021-10-22,2021-10-22
,2,599,AE1913254,7ZPVHFZL,1,Null,5,Null,Null,2020-11-11,4187,4.98,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65004SP18,2MJ9XZQE,1,Null,4,Null,Null,2020-12-10,4488,7.69,10,Null,Activate,2021-10-22,2021-10-22
,2,622,WAE65003SP18,2MJ9XZQE,1,Null,4,Null,Null,2020-12-10,4786,5.56,10,Null,Activate,2021-10-22,2021-10-22
,2,556,WAE65002SP18,2MJ9XZQE,1,Null,4,Null,Null,2020-12-10,7392,4.97,10,Null,Activate,2021-10-22,2021-10-22
