id,type_document_id,design_cover_id,no_style,no_po,type_shipmode_id,dest_country_id,name_fg_market_id,name_fg_color_id,name_fg_size_id,ship_date,qty_order,unit_price,group_entity_buyer_id,remark,status,created_ts,updated_ts
,2,539,WG30100012814/A/B,1012923370,1,23,1,Null,Null,2020-05-14,336,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516419,1,23,1,Null,Null,2020-05-30,72,11.42,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012924107,1,23,1,Null,Null,2020-06-02,2124,9.56,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516420,1,23,1,Null,Null,2020-06-02,600,11.62,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012924108,1,23,1,Null,Null,2020-06-04,312,8.62,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612516987,1,23,1,Null,Null,2020-06-05,720,8.36,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012924109,1,23,1,Null,Null,2020-06-07,2484,8.88,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612516847,1,23,1,Null,Null,2020-06-08,180,8.36,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012924110,1,23,1,Null,Null,2020-06-09,840,9.15,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516418,1,23,1,Null,Null,2020-06-09,912,11.91,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516266,1,23,1,Null,Null,2020-06-10,14064,11.63,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516421,1,23,1,Null,Null,2020-06-13,204,11.6,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516264,1,23,1,Null,Null,2020-06-13,22632,11.63,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516261,1,23,1,Null,Null,2020-06-15,26856,11.63,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556799198,1,23,1,Null,Null,2020-06-17,396,12.32,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799458,1,23,1,Null,Null,2020-06-17,156,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923749,1,23,1,Null,Null,2020-06-17,360,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516263,1,23,1,Null,Null,2020-06-18,14136,11.63,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556798839,1,23,1,Null,Null,2020-06-18,2268,12.4,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923362,1,23,1,Null,Null,2020-06-20,1080,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612516846,1,23,1,Null,Null,2020-06-20,684,8.59,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556798844,1,23,1,Null,Null,2020-06-20,24,12.38,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923415,1,23,1,Null,Null,2020-06-21,128856,9.25,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556798842,1,23,1,Null,Null,2020-06-21,648,12.38,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923360,1,23,1,Null,Null,2020-06-22,7992,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516265,1,23,1,Null,Null,2020-06-23,17616,11.63,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556799221,1,23,1,Null,Null,2020-06-23,216,12.36,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799459,1,23,1,Null,Null,2020-06-23,96,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923750,1,23,1,Null,Null,2020-06-23,168,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556798276,1,23,1,Null,Null,2020-06-24,12036,12.44,6,Null,Activate,2021-10-22,2021-10-22
