date_issued,type_Order,num_sku,num_product,qty,num_repeat,amount_buying,Amount_Sales,Amount_ETC,Amount_Fees,Freight,Duty,Dest,storage
2021-09-24,Order,NF2001_#BK1,NF2001,1,1,4.83,19.99,0,-7.44,2.1217,0.8425,0.2418,0.0128
2021-09-27,Order,NF2001_#BK1,NF2001,1,1,4.83,19.99,0,-7.44,2.1217,0.8425,0.2418,0.0128
2021-10-19,Order,NF2001_#BK1,NF2001,1,1,4.83,19.99,0,-7.44,2.1217,0.8425,0.2418,0.0128
2021-10-19,Order,NF2001_#BK1,NF2001,1,1,4.83,19.99,0,-7.44,2.1217,0.8425,0.2418,0.0128
2021-10-22,Order,NF2001_#BK1,NF2001,1,1,4.83,19.99,0,-7.44,2.1217,0.8425,0.2418,0.0128
2021-10-26,Order,NF2001_#BK1,NF2001,1,1,4.83,19.99,0,-7.44,2.1217,0.8425,0.2418,0.0128
2021-03-26,Order,NF2001_#BK1,NF2001,1,1,4.83,21.5,0,-6.77,2.1217,0.8425,0.2418,0.0128
2021-04-18,Order,NF2001_#BK1,NF2001,1,1,4.83,21.5,0,-7.47,2.1217,0.8425,0.2418,0.0128
2021-06-10,Order,NF2001_#BK1,NF2001,1,1,4.83,19.88,0,-7.42,2.1217,0.8425,0.2418,0.0128
2021-06-20,Order,NF2001_#BK1,NF2001,1,1,4.83,21.5,0.98,-8.68,2.1217,0.8425,0.2418,0.0128
2021-06-21,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-22,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-22,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-23,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-23,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-23,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-24,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-24,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-24,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-24,Order,NF2001_#BK1,NF2001,1,1,4.83,16.82,4.68,-7.7,2.1217,0.8425,0.2418,0.0128
2021-06-25,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-06-26,Refund,NF2001_#BK1,NF2001,1,1,4.83,-8.6,0,1.17,2.1217,0.8425,0.2418,0.0128
2021-06-29,Order,NF2001_#BK1,NF2001,1,1,4.83,8.6,0,-5.5,2.1217,0.8425,0.2418,0.0128
2021-07-08,Order,NF2001_#BK1,NF2001,1,1,4.83,17.2,0,-6.96,2.1217,0.8425,0.2418,0.0128
2021-08-02,Refund,NF2001_#BK1,NF2001,1,1,4.83,-8.6,0,1.17,2.1217,0.8425,0.2418,0.0128
2021-08-06,Order,NF2001_#BK1,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-08-06,Order,NF2001_#BK1,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-08-06,Order,NF2001_#BK1,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-08-06,Order,NF2001_#BK1,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-08-07,Order,NF2001_#BK1,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-08-09,Order,NF2001_#BK1,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-09-04,Order,NF2001_#BK1,NF2001,1,1,4.83,17.2,0,-6.96,2.1217,0.8425,0.2418,0.0128
2021-09-06,Order,NF2001_#BK1,NF2001,1,1,4.83,17.2,0,-6.96,2.1217,0.8425,0.2418,0.0128
2021-09-08,Refund,NF2001_#BK1,NF2001,1,1,4.83,-17.2,0,2.34,2.1217,0.8425,0.2418,0.0128
2021-07-20,Order,NF2001_#BK2,NF2001,1,1,4.83,17.2,0,-6.96,2.1217,0.8425,0.2418,0.0128
2021-08-06,Order,NF2001_#BK2,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-08-06,Order,NF2001_#BK2,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
2021-08-06,Order,NF2001_#BK2,NF2001,1,1,4.83,0,0,-5.95,2.1217,0.8425,0.2418,0.0128
