id,type_document_id,no_indent,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,no_design,id,brand_company_id,no_design,id,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,creted_ts,updated_ts
1,18,LEV-1017,24,3,NULL,CLOSE,LEV-1017,111211CY2,1,101,111211CY2,1,3,3,12,2,24,1,6,15,2021-10-19 0:00,2021-10-19 0:00
2,18,LEV-1012,24,3,NULL,CLOSE,LEV-1012,111311BY2,2,101,111311BY2,2,3,3,12,2,24,1,6,15,2021-10-19 0:00,2021-10-19 0:00
3,18,LEV-1043,24,3,NULL,CLOSE,LEV-1043,111321BY2,3,101,111321BY2,3,3,3,12,2,31,1,6,16,2021-10-19 0:00,2021-10-19 0:00
4,18,LEV-1044,24,3,NULL,CLOSE,LEV-1044,111411BY2,4,101,111411BY2,4,3,3,12,2,24,1,6,15,2021-10-19 0:00,2021-10-19 0:00
5,18,LEV-1019,24,3,NULL,CLOSE,LEV-1019,111411CY1,5,101,111411CY1,5,3,3,12,2,24,1,6,16,2021-10-19 0:00,2021-10-19 0:00
6,18,LEV-1020,24,3,NULL,CLOSE,LEV-1020,111421AY1,6,101,111421AY1,6,3,3,12,2,31,1,6,15,2021-10-19 0:00,2021-10-19 0:00
7,18,LEV-1045,24,3,NULL,CLOSE,LEV-1045,111425BY1,7,101,111425BY1,7,3,3,12,2,31,1,6,15,2021-10-19 0:00,2021-10-19 0:00
8,18,LEV-1048,24,3,NULL,CLOSE,LEV-1048,111439BY1,8,101,111439BY1,8,3,3,12,2,24,1,6,15,2021-10-19 0:00,2021-10-19 0:00
9,18,LEV-1057,24,3,NULL,CLOSE,LEV-1057,111471AY2,9,101,111471AY2,9,3,3,12,2,16,1,6,16,2021-10-19 0:00,2021-10-19 0:00
10,18,LEV-1046,24,3,NULL,CLOSE,LEV-1046,111471BY2,10,101,111471BY2,10,3,3,12,2,16,1,6,16,2021-10-19 0:00,2021-10-19 0:00
11,18,LEV-1049,24,3,NULL,CLOSE,LEV-1049,111571CY3,11,101,111571CY3,11,3,3,12,2,16,1,6,16,2021-10-19 0:00,2021-10-19 0:00
12,18,LEV-1061,24,3,NULL,OPEN,LEV-1061,111811AY2,12,101,111811AY2,12,4,3,12,2,24,1,6,16,2021-10-19 0:00,2021-10-19 0:00
13,18,LEV-1062,24,3,NULL,OPEN,LEV-1062,111821AY3,13,101,111821AY3,13,4,3,12,2,31,1,6,17,2021-10-19 0:00,2021-10-19 0:00
14,18,LEV-1059,24,3,NULL,OPEN,LEV-1059,111827BY1,14,101,111827BY1,14,4,3,12,2,35,1,6,15,2021-10-19 0:00,2021-10-19 0:00
15,18,LEV-1075,24,3,NULL,OPEN,LEV-1075,111X21AY1,15,101,111X21AY1,15,4,3,12,2,31,1,6,16,2021-10-19 0:00,2021-10-19 0:00
