id,doc_prod_num_id,num_sku,num_asin,num_product_amazon_id,num_fnsku,name_fg_color_id,name_fg_size_id,Product#,val_freight,val_duty,val_dest,val_storage,,,행 레이블,val_freight,val_duty,val_dest,val_storage,,행 레이블,Product Number,"오더
차수",합계 : 실제 수량,,행 레이블,Product Number,오더차수, 합계 : 실제 수량 , F/pcs , D/pcs , O/pcs , S/pcs ,, Freight , Duty , Other , Storage ,,행 레이블,평균 : F/pcs,평균 : D/pcs,평균 : O/pcs,평균 : S/pcs
1,1,NF2001_#BK1,B08VHQX9P6,1.94E+11,X002SKZEYD,1,10,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2001,2.1217,0.8425,0.2418,0.0128,,3382101962,NF2009,1,24,,3382101962,NF2009,1, 24 , 5.89 , - , - , 1.99 ,, 565.71 , - , - , 191.25 ,,NF2001, 1.59 , 0.66 , 0.24 , 0.04 
2,1,NF2001_#BK2,B08VHPJGWR,1.94E+11,X002SKZEY3,1,12,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2002,2.1217,0.8425,0.2418,0.0128,,3382101962,NF2014,1,36,,3382101962,NF2014,1, 36 , 5.89 , - , - , 1.99 ,,,,,,,NF2002, 1.05 , 0.77 , 0.20 , 0.03 
3,1,NF2001_#BK3,B08VHQ9NNR,1.94E+11,X002SL5MJJ,1,11,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2003,2.1217,0.8425,0.2418,0.0128,,3382101962,NF2015,1,36,,3382101962,NF2015,1, 36 , 5.89 , - , - , 1.99 ,,,,,,,NF2003, 1.59 , 0.66 , 0.24 , 0.04 
4,1,NF2001_#BK4,B08VHNPS4S,1.94E+11,X002SL1DN3,1,13,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2004,2.1217,0.8425,0.2418,0.0128,,8266490540,NF2008,1,24,,8266490540,NF2008,1, 24 , 5.89 , - , - , 2.22 ,, 565.71 , - , - , 213.25 ,,NF2004, 2.00 , 0.86 , 0.78 , 0.06 
5,1,NF2001_#BN1,B08VHP255Y,1.94E+11,X002SKYDC7,2,10,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2005,2.7537,1.7978,0.3206,0.003,,8266490540,NF2011,1,36,,8266490540,NF2011,1, 36 , 5.89 , - , - , 2.22 ,,,,,,,NF2005, 1.91 , 1.40 , 0.47 , 0.03 
6,1,NF2001_#BN2,B08VHN6TXB,1.94E+11,X002SL1DND,2,12,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2006,2.0225,0.9513,0.4839,0.0007,,8266490540,NF2012,1,36,,8266490540,NF2012,1, 36 , 5.89 , - , - , 2.22 ,,,,,,,NF2006, 1.62 , 0.87 , 0.63 , 0.03 
7,1,NF2001_#BN3,B08VHR3SX4,1.94E+11,X002SKZEXT,2,11,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2007,2.0225,0.9513,0.4839,0.0007,,HJHAN2102061,NF2001,1,1002,,HJHAN2102061,NF2001,1," 1,002 ", 1.59 , 0.66 , 0.24 , 0.04 ,," 8,596.30 "," 3,582.35 "," 1,279.00 ", 228.60 ,,NF2007, 0.87 , 1.07 , 0.82 , 0.02 
8,1,NF2001_#BN4,B08VHPZY4G,1.94E+11,X002SL5MJT,2,13,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2008,0.5132,1.0136,0.014,0.0028,,HJHAN2102061,NF2002,1,1100,,HJHAN2102061,NF2002,1," 1,100 ", 1.59 , 0.66 , 0.24 , 0.04 ,,,,,,,NF2008, 3.07 , 0.50 , 0.13 , 1.12 
9,1,NF2001_#PR1,B08VHNSPVV,1.94E+11,X002SL5MJ9,3,10,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2009,0.5132,1.0136,0.014,0.0028,,HJHAN2102061,NF2003,1,2200,,HJHAN2102061,NF2003,1," 2,200 ", 1.59 , 0.66 , 0.24 , 0.04 ,,,,,,,NF2009, 3.07 , 0.50 , 0.13 , 1.00 
10,1,NF2001_#PR2,B08VHNGPLG,1.94E+11,X002SKYDBX,3,12,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2010,2.0225,0.9513,0.4839,0.0007,,HJHAN2102061,NF2004,1,1100,,HJHAN2102061,NF2004,1," 1,100 ", 1.59 , 0.66 , 0.24 , 0.04 ,,,,,,,NF2010, 1.62 , 0.87 , 0.63 , 0.03 
11,1,NF2001_#PR3,B08VHQDK1Q,1.94E+11,X002SKZEXJ,3,11,NF2001,2.1217,0.8425,0.2418,0.0128,,,NF2011,0.5132,1.0136,0.014,0.0028,,HJHAN2103141,NF2006,1,400,,HJHAN2103141,NF2006,1, 400 , 1.62 , 0.87 , 0.63 , 0.03 ,," 3,209.60 "," 1,719.00 "," 1,259.60 ", 61.02 ,,NF2011, 3.07 , 0.50 , 0.13 , 1.12 
