id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,id,brand_company_id,no_design,id,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,remark,creted_ts,updated_ts
1,18,24,3,0,CLOSE,LEV-1017,1,101,111211CY2,1,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
2,18,24,3,0,CLOSE,LEV-1012,2,101,111311BY2,2,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
3,18,24,3,0,CLOSE,LEV-1043,3,101,111321BY2,3,3,3,12,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
4,18,24,3,0,CLOSE,LEV-1044,4,101,111411BY2,4,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
5,18,24,3,0,CLOSE,LEV-1019,5,101,111411CY1,5,3,3,12,2,24,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
6,18,24,3,0,CLOSE,LEV-1020,6,101,111421AY1,6,3,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
7,18,24,3,0,CLOSE,LEV-1045,7,101,111425BY1,7,3,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
8,18,24,3,0,CLOSE,LEV-1048,8,101,111439BY1,8,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
9,18,24,3,0,CLOSE,LEV-1057,9,101,111471AY2,9,3,3,12,2,16,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
10,18,24,3,0,CLOSE,LEV-1046,10,101,111471BY2,10,3,3,12,2,16,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
11,18,24,3,0,CLOSE,LEV-1049,11,101,111571CY3,11,3,3,12,2,16,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
12,18,24,3,0,OPEN,LEV-1061,12,101,111811AY2,12,4,3,12,2,24,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
13,18,24,3,0,OPEN,LEV-1062,13,101,111821AY3,13,4,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
14,18,24,3,0,OPEN,LEV-1059,14,101,111827BY1,14,4,3,12,2,35,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
15,18,24,3,0,OPEN,LEV-1075,15,101,111X21AY1,15,4,3,12,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
16,18,24,3,0,OPEN,LEV-1068,16,101,111X27AYB,16,4,3,12,2,35,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
17,18,24,3,0,OPEN,LEV-1069,17,101,111X27BYA,17,4,3,12,2,35,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
18,18,24,3,0,OPEN,LEV-1097,18,101,111Y27AY1,18,4,3,12,2,35,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
19,18,24,3,0,OPEN,LEV-1067,19,101,111Y30AY1,19,4,3,12,2,10,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
20,18,24,3,0,OPEN,LEV-1094,20,101,111Y30AY3,20,4,3,12,2,10,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
21,18,24,3,0,OPEN,LEV-22010,21,101,112111BY1,21,3,4,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
22,18,24,3,0,OPEN,LEV-22009,22,101,112111BY2,22,3,4,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
23,18,24,3,0,OPEN,LEV-22034,23,101,112121BY1,23,3,4,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
24,18,24,3,0,OPEN,LEV-22015,24,101,112211CY1,24,3,4,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
25,18,24,3,0,OPEN,LEV-22014,25,101,112227CY1,25,3,4,12,2,35,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
26,18,24,3,0,OPEN,LEV-22052,26,101,112327CY1,26,3,4,12,2,35,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
27,18,24,3,0,OPEN,LEV-22042,27,101,112411AY2,27,3,4,12,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
28,18,24,3,0,OPEN,LEV-22041,28,101,112421CY1,28,3,4,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
29,18,24,3,0,OPEN,LEV-22054,29,101,112527BY2,29,3,4,12,2,35,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
30,18,24,3,0,CLOSE,LEV-1042,30,101,121327EY1,30,3,3,12,2,35,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
31,18,24,3,0,OPEN,LEV-1076,31,101,121X21GY4,31,4,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
32,18,24,3,0,OPEN,LEV-1100,32,101,121Y30GY1,32,4,3,12,2,10,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
