id,size_id,name,id
1,1,3-6M,1
2,2,6-12M,2
3,3,12-18M,3
4,4,18-24M,4
5,5,UPTO7LB,5
6,6,0-3M,6
7,7,0-6M,7
8,8,6-9M,8
9,9,9-12M,9
10,10,S,10
11,11,L,11
12,12,M,12
13,13,XL,13
14,14,XXL,14
15,15,XS,15
16,16,XXL REG,16
17,17,XS REG,17
18,18,S REG,18
19,19,XL REG,19
20,20,M REG,20
21,21,L REG,21
22,22,XS SLIM,22
23,23,S SLIM,23
24,24,M SLIM,24
25,25,L SLIM,25
26,26,XL SLIM,26
27,27,XXLSLIM,27
28,28,M HUSKY,28
29,29,XXLHSKY,29
30,30,XLHUSKY,30
31,31,L HUSKY,31
32,32,XSHUSKY,32
33,33,S HUSKY,33
34,34,7,34
35,35,5,35
36,36,6,36
37,37,10,37
38,38,14,38
39,39,12,39
40,40,8,40
41,41,16,41
42,42,4,42
43,43,18,43
44,44,9,44
45,45,7 HUSKY,45
46,46,14HUSKY,46
47,47,8 HUSKY,47
48,48,12HUSKY,48
49,49,6 HUSKY,49
50,50,10HUSKY,50
51,51,16HUSKY,51
52,52,18HUSKY,52
53,53,7 REG,53
54,54,12 REG,54
55,55,14 REG,55
56,56,16 REG,56
57,57,8 REG,57
58,58,6 REG,58
59,59,10 REG,59
60,60,5 REG,60
61,61,4 REG,61
62,62,18 REG,62
63,63,5 SLIM,63
64,64,10 SLIM,64
65,65,7 SLIM,65
66,66,16 SLIM,66
67,67,14 SLIM,67
68,68,8 SLIM,68
69,69,6 SLIM,69
70,70,12 SLIM,70
71,71,18 SLIM,71
72,72,4 SLIM,72
73,73,XXL SLIM,73
74,74,XS+,74
75,75,S+,75
76,76,M+,76
77,77,L+,77
78,78,XL+,78
79,79,XXL+,79
80,80,5+,80
81,81,6+,81
82,82,7+,82
83,83,8+,83
84,84,10+,84
85,85,12+,85
86,86,14+,86
87,87,16+,87
88,88,18+,88
89,89,2,89
90,90,1,90
91,91,3,91
92,92,22,92
93,93,24,93
94,94,26,94
95,95,20,95
96,96,XXS,96
97,97,XXXL,97
98,98,XXS REG,98
99,99,XS/T,99
100,100,S/T,100
101,101,M/T,101
102,102,L/T,102
103,103,XL/T,103
104,104,XXS/T,104
105,105,XXL/T,105
106,106,XXXL/T,106
107,107,28,107
108,108,29,108
109,109,30,109
110,110,31,110
111,111,32,111
112,112,33,112
113,113,34,113
114,114,35,114
115,115,36,115
116,116,38,116
117,117,40,117
118,118,42,118
119,119,26X32,119
120,120,28X28,120
121,121,28X30,121
122,122,28X32,122
123,123,29X28,123
124,124,29X29,124
125,125,29X30,125
126,126,29X31,126
127,127,29X32,127
128,128,29X34,128
